,,,,,,,,,"COMERCIAL VAZQUEZ MONTALVO, S.A. DE C.V.",,,,
,,,,,,,,,,,,,
,Domicilio fiscal,,,,R.F.C. :,,,,,COTIZACIÓN No. :,,,F5366
,"Calle: HEROE DE NACOZARI NTE No. 1906, Col. GREMIAL, CP: 20030,",,,,,,,,,Fecha,,,18/05/2020
,"AGUASCALIENTES, AGS, MEXICO",,,,,,,,,,,,
,Lugar de expedición,,,,,,,,,,,,
,"Calle: HEROE DE NACOZARI NTE, CP: 20030",,,,,,,,,,,,
,,,,,,,,,,,,,
Cliente:,(,9000,),VENTA DE MOSTRADOR,,,,,,,,,
"Calle: HEROE DE NACOZARI No. 1906, Col. GREMIAL, CP: 20030, AGUASCALIENTES, AGUASCALIENTES,",,,,,,,,,,,,,
"AGUASCALIENTES, RFC: XAXX010101000, Teléfono: 9122563",,,,,,,,,,,,,
Vendedor :,38,,,,,,,,,,,,
Enviar a:,,,,,,,,,,,,,
Cantidad,Clave,,,Descripción,,,,,% Desc,P/U,,,Importe
,,,,,,,,,,,,,
70.00,41-EGM12045,,,19  TOR HEX 8.8 MM 12 -1.75 X 45,,,,,0.00,4.2874,,,300.12
20.00,41-EGM20090,,,19  TOR HEX 8.8 MM 20 -2.50 X 90,,,,,0.00,26.2909,,,525.82
30.00,41-EGM16160,,,19  TOR HEX 8.8 MM 16 -2.00 X 160,,,,,0.00,24.9357,,,748.07
60.00,41-EGM16100,,,19  TOR HEX 8.8 MM 16 -2.00 X 100,,,,,0.00,16.1885,,,971.31
25.00,TG5C-38X112,,,"19  TOR G5 NC 3/8"" - 16 X 1 1/2",,,,,0.00,1.6139,,,40.35
50.00,41-ACM10025,,,19  TOR ALLEN MM 10 -1.50 X 25,,,,,0.00,2.9075,,,145.38
30.00,41-ACM08020,,,19  TOR ALLEN MM 8 -1.25 X 20,,,,,0.00,1.4661,,,43.98
20.00,41-ACM20070,,,19  TOR ALLEN MM 20 -2.50 X 70,,,,,0.00,30.2456,,,604.91
,NO SE TIENE PASO 2.0,,,,,,,,,,,,
20.00,41-ACM20080,,,19  TOR ALLEN MM 20 -2.50 X 80,,,,,0.00,33.4981,,,669.96
,NO SE TIENE PASO 2.0,,,,,,,,,,,,
